# #R,Rnorm,kurR,nu
1.390000000000000000e+02,6.831683168316832200e-01,2.390244436409859896e-01,2.035770913602207854e-01
1.410000000000000000e+02,6.930693069306930187e-01,2.787863710486002677e-01,1.969115902466771761e-01
1.430000000000000000e+02,7.029702970297029285e-01,3.318969760582507478e-01,1.902950371347848224e-01
1.450000000000000000e+02,7.128712871287128383e-01,3.955309992478465153e-01,1.837314451274228155e-01
1.470000000000000000e+02,7.227722772277227481e-01,4.677663263783314873e-01,1.772385776529363521e-01
1.490000000000000000e+02,7.326732673267326579e-01,5.469179470406788646e-01,1.708178381714143823e-01
1.510000000000000000e+02,7.425742574257425677e-01,6.253911623993831936e-01,1.644942210637846403e-01
1.530000000000000000e+02,7.524752475247524774e-01,7.053532902895367496e-01,1.582649006992834784e-01
1.550000000000000000e+02,7.623762376237623872e-01,7.731250776068933073e-01,1.521568935128553846e-01
1.570000000000000000e+02,7.722772277227722970e-01,8.369171958676140388e-01,1.461643284104871821e-01
1.590000000000000000e+02,7.821782178217822068e-01,8.789651472480780603e-01,1.403075109179216517e-01
1.610000000000000000e+02,7.920792079207921166e-01,9.136537372556279291e-01,1.345831363896776434e-01
1.630000000000000000e+02,8.019801980198020264e-01,9.247564318918068960e-01,1.289939765810178551e-01
1.650000000000000000e+02,8.118811881188119361e-01,9.288454673941735074e-01,1.235492393038217784e-01
1.670000000000000000e+02,8.217821782178217349e-01,9.206589229464025026e-01,1.182244344564407218e-01
1.690000000000000000e+02,8.316831683168316447e-01,9.091949493313488118e-01,1.130525725254385716e-01
1.710000000000000000e+02,8.415841584158415545e-01,9.119867655404378937e-01,1.079782913215984741e-01
1.730000000000000000e+02,8.514851485148514643e-01,9.157699467124386095e-01,1.030647870405774075e-01
1.750000000000000000e+02,8.613861386138613740e-01,9.718103080480574585e-01,9.823456143553833952e-02
1.770000000000000000e+02,8.712871287128712838e-01,1.030262666411485117e+00,9.357410836500699991e-02
1.790000000000000000e+02,8.811881188118811936e-01,1.180244932917658085e+00,8.901047094871970822e-02
1.810000000000000000e+02,8.910891089108911034e-01,1.330816955156897130e+00,8.462579647471166200e-02
1.830000000000000000e+02,9.009900990099010132e-01,1.597131364816159804e+00,8.039794130967201080e-02
1.850000000000000000e+02,9.108910891089109230e-01,1.862595757333633362e+00,7.635418986461971202e-02
1.870000000000000000e+02,9.207920792079208328e-01,2.230352212074797613e+00,7.258254336084343783e-02
1.890000000000000000e+02,9.306930693069307425e-01,2.598949537867853099e+00,6.899007609537118058e-02
1.910000000000000000e+02,9.405940594059405413e-01,2.991662929574317786e+00,6.582927151472243998e-02
1.930000000000000000e+02,9.504950495049504511e-01,3.384542439028645155e+00,6.282792616411445041e-02
1.950000000000000000e+02,9.603960396039603609e-01,3.642527817187843020e+00,6.042354638559696567e-02
1.970000000000000000e+02,9.702970297029702706e-01,3.889901561742878044e+00,5.814400216801750287e-02
1.990000000000000000e+02,9.801980198019801804e-01,3.801700781048683808e+00,5.656765580882432143e-02
2.010000000000000000e+02,9.900990099009900902e-01,3.594407832474399545e+00,5.507294939643572751e-02
2.030000000000000000e+02,1.000000000000000000e+00,3.424908829175140390e+00,5.425658709289297305e-02
