# Raios,IR,IRerr,LR,IRM 
1.830000000000000000e+02,7.762647699564695358e-03,2.139699459075927734e-02,1.363848242187500000e+04,1.415015191512595527e-01
1.850000000000000000e+02,7.178663741797208786e-03,1.963569596409797668e-02,1.366513964843750000e+04,1.387366076980771079e-01
1.870000000000000000e+02,6.672794930636882782e-03,1.894097961485385895e-02,1.372069628906250000e+04,1.363574559401180553e-01
1.890000000000000000e+02,5.514514166861772537e-03,1.848859898746013641e-02,1.397390332031250000e+04,1.359395235207208619e-01
1.910000000000000000e+02,6.162968464195728302e-03,1.955554820597171783e-02,1.426811328125000000e+04,1.359100920276809232e-01
1.930000000000000000e+02,5.777774378657341003e-03,2.027594298124313354e-02,1.431842285156250000e+04,1.335935477244842851e-01
1.950000000000000000e+02,5.115044303238391876e-03,1.960522308945655823e-02,1.433776464843750000e+04,1.310258405004020854e-01
1.970000000000000000e+02,4.667005036026239395e-03,1.922780089080333710e-02,1.435073242187500000e+04,1.284768209372957604e-01
1.990000000000000000e+02,4.281038884073495865e-03,1.865233480930328369e-02,1.436165820312500000e+04,1.260281003468443906e-01
2.010000000000000000e+02,3.410845994949340820e-03,1.754058152437210083e-02,1.437026757812500000e+04,1.235992566819335142e-01
2.030000000000000000e+02,3.922232892364263535e-03,1.840586401522159576e-02,1.437822265625000000e+04,1.212451736790400442e-01
